Org Id,Animal Type,Priority
1,4,
2,4,
3,4,
4,2,
4,4,
4,8,
4,9,
5,2,
6,2,
6,3,
6,4,
6,8,
6,9,
7,4,
8,4,
8,2,
9,2,
9,3,
9,4,
9,8,
9,9,
10,2,
10,3,
10,4,
10,8,
10,9,
11,2,
11,3,
11,4,
11,8,
11,9,
12,4,
13,2,
13,3,
14,2,
14,4,
14,8,
14,9,
15,2,
15,3,
15,4,
15,8,
15,9,
16,4,
17,2,
17,3,
17,4,
17,8,
17,9,
18,2,
18,8,
18,9,
19,2,
19,3,
19,4,
19,8,
19,9,
20,2,
20,4,
21,2,
21,3,
21,4,
21,8,
21,9,
22,2,
22,3,
22,4,
22,8,
22,9,
23,2,
23,3,
23,4,
23,8,
23,9,
24,2,
24,3,
24,4,
24,8,
24,9,
25,2,
25,3,
25,4,
25,8,
25,9,
26,2,
27,2,
27,3,
27,4,
27,8,
27,9,
28,2,
28,3,
28,4,
28,8,
28,9,
29,2,
29,3,
29,4,
29,8,
29,9,
30,2,
30,3,
30,4,
31,2,
32,2,
32,4,
33,2,
33,3,
33,4,
34,2,
34,4,
35,4,
36,2,
36,3,
36,4,
36,8,
36,9,
37,3,
38,3,
39,4,
40,2,
40,3,
40,4,
40,8,
40,9,
41,2,
41,3,
41,4,
41,8,
41,9,
42,2,
42,3,
42,4,
42,8,
42,9,
43,2,
43,3,
43,4,
43,8,
43,9,
44,2,
44,3,
44,4,
44,8,
44,9,
45,2,
45,3,
45,4,
45,8,
45,9,
46,2,
46,3,
46,4,
46,8,
46,9,
47,3,
48,2,
48,3,
48,4,
48,8,
48,9,
49,2,
49,3,
49,4,
49,8,
49,9,
50,4,
51,2,
51,3,
51,4,
51,8,
51,9,
52,2,
52,3,
52,4,
52,8,
52,9,
53,4,
54,2,
54,3,
54,4,
54,8,
54,9,
55,2,
55,3,
55,4,
55,8,
55,9,
56,2,
56,3,
56,4,
56,8,
56,9,
57,2,
58,2,
58,3,
58,4,
58,8,
58,9,
59,2,
59,3,
59,4,
59,8,
59,9,
60,2,
61,2,
61,3,
61,4,
61,8,
61,9,
62,8,
62,9,
63,3,
64,2,
64,3,
64,4,
64,8,
64,9,
65,2,
65,3,
65,4,
65,8,
65,9,
66,2,
66,3,
66,4,
66,8,
66,9,
67,2,
67,3,
67,4,
67,8,
67,9,
68,2,
68,3,
68,4,
68,8,
68,9,
69,2,
69,3,
70,2,
70,3,
70,4,
70,8,
70,9,
71,2,
71,3,
71,4,
71,8,
71,9,
72,2,
72,3,
72,4,
72,8,
72,9,
73,2,
73,3,
73,4,
73,8,
73,9,
74,2,
74,3,
74,4,
74,8,
74,9,
75,2,
75,3,
75,4,
75,8,
75,9,
76,4,
77,2,
77,3,
77,4,
77,8,
77,9,
78,4,
79,4,
80,2,
80,3,
80,4,
80,8,
80,9,
81,2,
81,3,
81,4,
81,8,
81,9,
83,2,
83,3,
83,4,
83,8,
83,9,
84,2,
84,3,
84,4,
84,8,
84,9,
85,2,
85,3,
85,4,
85,8,
85,9,
86,2,
86,3,
86,4,
86,8,
86,9,
87,2,
87,3,
87,4,
87,8,
87,9,
88,4,
89,2,
89,3,
89,4,
89,8,
89,9,
90,2,
90,3,
90,4,
90,8,
90,9,
91,2,
91,3,
91,4,
91,8,
91,9,
92,2,
92,3,
92,4,
92,8,
92,9,
93,2,
93,3,
93,4,
93,8,
93,9,
94,2,
95,2,
95,3,
95,4,
95,8,
95,9,
96,4,
97,4,
98,2,
98,3,
98,4,
98,8,
98,9,
99,4,
100,4,
101,2,
101,3,
101,4,
101,8,
101,9,
102,2,
102,3,
102,4,
102,8,
102,9,
103,2,
103,3,
103,4,
103,8,
103,9,
104,4,
105,2,
105,3,
105,4,
105,8,
105,9,
106,4,
107,2,
108,2,
108,3,
108,4,
108,8,
108,9,
109,2,
109,3,
109,4,
109,8,
109,9,
110,2,
110,3,
110,4,
110,8,
110,9,
111,2,
111,3,
111,4,
111,8,
111,9,
112,2,
113,4,
114,2,
114,3,
114,4,
114,8,
114,9,
115,2,
116,2,
116,3,
116,4,
116,8,
116,9,
117,4,
118,2,
118,3,
118,4,
118,8,
118,9,
119,2,
120,2,
120,3,
120,4,
120,8,
120,9,
121,2,
122,2,
123,2,
123,3,
123,4,
123,8,
123,9,
124,2,
124,3,
124,4,
124,8,
124,9,
125,2,
125,3,
125,4,
125,8,
125,9,
126,2,
126,3,
126,4,
126,8,
126,9,
127,2,
127,3,
127,4,
127,8,
127,9,
128,2,
128,3,
128,4,
128,8,
128,9,
129,2,
129,3,
129,4,
129,8,
129,9,
130,2,
130,3,
130,4,
130,8,
130,9,
131,4,
132,4,
133,2,
133,3,
133,4,
133,8,
133,9,
134,4,
135,4,
136,2,
136,3,
136,4,
136,8,
136,9,
137,2,
137,4,
138,2,
138,3,
138,4,
139,2,
139,3,
140,4,
141,4,
141,8,
141,9,
142,2,
142,3,
142,4,
142,8,
142,9,
143,2,
143,3,
144,2,
144,3,
145,2,
145,3,
145,4,
145,8,
145,9,
146,2,
146,3,
147,2,
147,3,
148,2,
148,3,
148,4,
149,2,
149,3,
149,4,
149,8,
149,9,
150,2,
150,3,
150,4,
150,8,
150,9,
151,2,
152,2,
152,3,
152,4,
152,8,
152,9,
153,2,
153,3,
154,2,
154,3,
154,4,
154,8,
154,9,
155,2,
155,3,
155,4,
155,8,
155,9,
156,4,
157,2,
157,3,
157,4,
157,8,
157,9,
158,2,
158,3,
158,4,
158,8,
158,9,
159,2,
159,3,
159,4,
160,2,
160,3,
160,4,
161,2,
161,3,
161,4,
162,2,
162,3,
162,4,
162,8,
162,9,
163,4,
164,2,
164,3,
164,4,
164,9,
165,2,
165,3,
165,4,
165,8,
165,9,
166,2,
166,3,
166,4,
167,2,
167,3,
167,4,
168,2,
168,3,
168,4,
168,8,
168,9,
169,2,
169,3,
169,4,
169,8,
169,9,
