ID,Name,Show address?,Address1,Address2,City,State,Zipcode,Phone,Description
1,Blue Mountain Wildlife Hack Site ,0,,,Benton City,WA,99320,541-278-0215,Notes: Birds of prey; some birds
2,Prosser Animal Clinic,0,,,Prosser,WA,99350,509-786-1393,Notes: Birds; INITIAL CARE ONLY
3,The Barn Owl Project ,0,,,Manson,WA,98831,509-679-3615,Notes: Primarily orphaned barn owls; some smaller owls; occassional orphaned songbirds
4,Northwest Raptor Center,1,1051 Oak Ct,,Sequim,WA,98382,360-460-0178,Notes: All spp except large carnivores and raccoons
5,Squirrel Refuge,0,,,Vancouver,WA,98668,360-836-0955,Notes: Small mammals only
6,Dr. Malisha Serrano - Ocean Beach Vet Clinic,1,4011 Ocean Beach Hwy,Box 111,Longview,WA,98632,360-425-0850,Notes: INITIAL CARE ONLY All spp except raccoons
7,NE WA Wildlife Rehab Society,0,,,Kettle Falls,WA,99141,509-675-2760,Notes: Birds of prey only
8,The Friends of Slim Pickens Wildlife Rescue,1,2943 E Hoquiam Rd,,Hoquiam,WA,98550,360-532-5912,"Notes: Birds, small mammals"
9,Grays Harbor Veterinary Services,1,4 Old Beacon Rd,,Montesano,WA,98563,360-249-4840,
10,Useless Bay Animal Clinic,1,5523 S Harbor Ave,,Freeland,WA,98249,360-331-3100,Notes: All spp
11,Wildlife Care Clinic,1,33285 SR 20,,Oak Harbor ,WA,98277,360-679-6796,Notes: All spp
12,Discovery Bay Raptor Rehabilitation,0,,,Port Townsend,WA,98368,360-643-0056,Notes: Birds of prey and small birds
13,Center Valley Animal Rescue,0,,,Quilcene,WA,98376,360-765-0598,Notes: Mammals only; no bats; no birds
14,South Sound Critter Care,1,28727 216th Ave SE,,Kent,WA,98042,360-886-8917,"Notes: All spp except large carnivores; no deer, elk, or moose"
15,PAWS Wildlife Center ,1,15305 44th Ave W,,Lynnwood,WA,98046,425-412-4040,Notes: All spp including large carnivores
16,Featherhaven,0,,,Enumclaw,WA,98022,253-350-5792,Notes: Songbirds only
17,West Sound Wildlife Shelter,1,7501 NE Dolphin Dr,,Bainbridge Island,WA,98110,206-855-9057,Notes: All spp
18,Susan Rosenburg,1,21670 President Pt,,Kingston,WA,98340,877-353-3463,Notes: Sm mammals and reptiles
19,Ellensburg Animal Hospital ,1,1800 Vantage Hwy,,Ellensburg,WA,98926,509-925-2833,Notes: INITIAL CARE ONLY All spp
20,Okanogan Wildlife League,1,229 C Eastlake Rd,,Oroville,WA,98844,509-560-3828,Notes: Small mammals and birds including birds of prey
21,Willapa Veterinary Service,1,231 Ocean Ave,,Raymond,WA,98577,360-942-2321,Notes: INITIAL CARE ONLY
22,Kiwani Wambli,1,411 Daisy Ln,,Cusick,WA,99119,509-671-5069,Notes: All spp except large carnivores and moose; birds of prey transport only
23,Wolf Hollow Wildlife Rehab Center,1,284 Boyce Rd,,Friday Harbor,WA,98250,360-378-5000,Notes: All spp except large carnivores; coyote and fox okay
24,Fidalgo Animal Medical Center,1,3303 Commercial Ave,,Anacortes,WA,98221,360-293-2186,Notes: INITIAL CARE ONLY
25,2nd Chance Wildlife Care Center,1,6512 61st PI SE,,Snohomish,WA,98290,425-335-0788,Notes: All spp; bobcat permitted
26,Happy Valley Bats,0,,,Stanwood,WA,98292,360-631-0668,Notes: Bats
27,Sarvey Wildlife Care Center,1,13106 128th St NE,,Arlington,WA,98223,360-435-4817,"Notes: All species except large carnivores; coyote, fox, and bobcat okay"
28,Mt. Spokane Veterinary Hospital,1,17117 N Newport Hwy,,Mead,WA,99021,509-238-1585,Notes: All spp NO WILDLIFE AFTER-HOURS CALLS
29,Ponti Veterinary Hospital,1,25007 E Wellesley,,Otis Orchards,WA,99027,509-922-7465,Notes: Al spp except sm baby birds or raccoons
30,Chewelah Animal Hospital,0,,,Chewelah,WA,99109,509-935-6424,Notes: Mammals; Initial care only for birds
31,Many Gates to the Heart Rescue and Rehabilitation Ranch ,1,3211 Beitley Rd,,Valley,WA,99181,509-937-4800,Notes: Sm and med size mammals
32,Yelm Veterinary Hospital,1,1120 Yelm Ave W,,Yelm,WA,98597,360-458-7707,Notes: Small mammals and birds
33,For Heaven's Sake Animal Rescue and Rehab,1,16111 Case Rd SW,,Rochester,WA,98579,360-273-0550,"Notes: Mammals, deer and elk specialty; birds including birds of prey"
34,Raindancer Wild Bird Rescue,0,,,Olympia,WA,98502,360-970-5402,Notes: Birds of prey only; bats
35,Sardis Wildlife Center,0,,,Ferndale,WA,98240,360-366-3863,Notes: Birds of prey only
36,Whatcom Human Soc. Wildlife Rehabilitation Services Center ,1,3671 Mt. Baker Hwy,,Everson,WA,98247,360-920-5677,Notes: All spp
37,WSU Exotics and Wildlife Ward,1,100 Grimes Way,,Pullman,WA,99164,509-335-0741,"Notes: Deer, elk, moose"
38,Boyle Farm,0,,,Wapato,WA,98951,509-945-5422,Notes: Deer and elk
39,Raptor House,1,40 Wise Acre Rd,,Yakima,WA,98901,509-759-5500,Notes: Birds of prey only
